Time_Hour,Time_Second,Throughput_Gbps,Total_Accommodated_Flow_%,NS_Selected_%,EW_Selected_%,NESW_Selected_%,HG_Selected_%,LG_Selected_%,NS_Stretch,EW_Stretch,HG_Stretch,LG_Stretch,NESW_Stretch,NS_HopCount,EW_HopCount,HG_HopCount,LG_HopCount,NESW_HopCount
0,0,2806.26,15.227,2.08,1.455,1.896,1.02,6.758,1.871,1.65,1.261,1.486,1.281,8.0,8.0,12.0,4.0,6.0
2,7200,2858.76,15.625,1.106,1.47,1.906,1.072,6.834,1.87,1.635,1.272,1.46,1.284,8.0,8.0,12.0,4.0,6.0
4,14400,2760.53,15.245,1.283,1.455,1.979,1.005,6.971,1.885,1.67,1.28,1.479,1.292,7.5,8.0,12.0,4.0,6.0
6,21600,2821.92,15.005,1.504,1.462,1.901,1.007,6.911,1.935,1.624,1.265,1.465,1.268,8.0,8.0,12.0,4.0,6.0
8,28800,2832.51,15.266,2.035,1.558,1.823,0.977,7.133,1.854,1.588,1.281,1.478,1.276,8.0,8.0,12.0,4.0,6.0
10,36000,2802.54,14.932,1.726,1.381,1.882,1.001,6.997,1.828,1.641,1.269,1.459,1.291,8.0,8.0,12.0,4.0,6.0
12,43200,2830.31,14.944,1.239,1.558,1.823,1.018,6.903,1.932,1.627,1.276,1.468,1.288,8.0,8.0,12.0,4.0,6.0
14,50400,2759.59,15.154,1.239,1.337,1.882,1.018,7.193,1.94,1.672,1.275,1.461,1.295,8.0,8.0,12.0,4.0,6.0
16,57600,2834.18,15.426,2.035,1.514,1.993,1.034,6.741,1.9,1.62,1.266,1.455,1.274,8.0,8.0,12.0,4.0,6.0
18,64800,2764.53,6.897,1.504,0.864,1.469,0.297,7.739,1.867,1.675,1.285,1.484,1.282,8.0,8.0,12.0,4.0,6.0
20,72000,2806.22,15.24,1.637,1.455,1.775,1.046,7.09,1.848,1.63,1.264,1.466,1.284,7.5,8.0,12.0,4.0,6.0
22,79200,2726.23,14.759,1.416,1.625,1.853,0.958,7.133,1.93,1.62,1.278,1.495,1.287,8.0,8.0,12.0,4.0,6.0
24,86400,2836.37,15.736,1.593,1.558,1.974,1.064,6.903,1.832,1.631,1.27,1.437,1.276,7.5,8.0,12.0,4.0,6.0
